0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:42:00 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:42:03 +0000] "GET /TestProject/faces/managerpage.xhtml HTTP/1.1" 200 3812
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:42:03 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:42:04 +0000] "POST /TestProject/faces/managerpage.xhtml HTTP/1.1" 200 9624
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:42:04 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:42:22 +0000] "GET /TestProject/faces/managerpage.xhtml HTTP/1.1" 200 3812
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:42:22 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:42:29 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:42:31 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:42:44 +0000] "POST /TestProject/faces/managerpage.xhtml HTTP/1.1" 200 3062
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:42:44 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:42:48 +0000] "GET /TestProject/faces/managerpage.xhtml HTTP/1.1" 200 3812
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:42:48 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:43:05 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:43:08 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:43:10 +0000] "POST /TestProject/faces/managerpage.xhtml HTTP/1.1" 200 5685
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:43:10 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:43:18 +0000] "POST /TestProject/faces/viewCustomer.xhtml HTTP/1.1" 302 176
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:43:18 +0000] "GET /TestProject/faces/index.xhtml HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:43:18 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:43:22 +0000] "GET /TestProject/faces/login.xhtml HTTP/1.1" 200 5381
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:43:22 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:43:27 +0000] "POST /TestProject/faces/login.xhtml HTTP/1.1" 200 5680
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:43:27 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:43:31 +0000] "POST /TestProject/faces/login.xhtml HTTP/1.1" 302 188
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:43:31 +0000] "GET /TestProject/faces/managerpage.xhtml HTTP/1.1" 200 3812
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:43:31 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:43:35 +0000] "POST /TestProject/faces/managerpage.xhtml HTTP/1.1" 200 9624
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:43:35 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:43:38 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:44:04 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:44:04 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:44:05 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:44:25 +0000] "POST /TestProject/faces/stockpage.xhtml HTTP/1.1" 500 3660
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:44:25 +0000] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:44:41 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:44:46 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:45:27 +0000] "POST /TestProject/faces/stockpage.xhtml HTTP/1.1" 200 9668
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:45:27 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:45:29 +0000] "POST /TestProject/faces/stockpage.xhtml HTTP/1.1" 200 9344
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:45:29 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:45:32 +0000] "POST /TestProject/faces/stockpage.xhtml HTTP/1.1" 302 176
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:45:32 +0000] "GET /TestProject/faces/index.xhtml HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:45:32 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:45:33 +0000] "GET /TestProject/faces/products.xhtml HTTP/1.1" 200 5874
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:45:33 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:45:35 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:45:48 +0000] "GET /TestProject/faces/login.xhtml HTTP/1.1" 200 5373
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:45:48 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:45:57 +0000] "POST /TestProject/faces/login.xhtml HTTP/1.1" 302 188
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:45:57 +0000] "GET /TestProject/faces/managerpage.xhtml HTTP/1.1" 200 3812
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:45:57 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:45:58 +0000] "POST /TestProject/faces/managerpage.xhtml HTTP/1.1" 200 8888
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:45:58 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:46:05 +0000] "POST /TestProject/faces/stockpage.xhtml HTTP/1.1" 500 3660
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:46:09 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
